time_s,throttle,setpoint,brake,speed,accel_x,speed_raw,range_id
3.7100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.7200,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
3.7300,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
3.7400,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.7500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.7600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.7700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.7800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.7900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.8000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.8100,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.8200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.8300,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.8400,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.8500,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.8600,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.8700,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.8800,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.8900,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.9000,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.9100,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.9200,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.9300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.9400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.9500,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.9600,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
3.9700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.9800,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
3.9900,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.0000,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
4.0100,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.0200,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
4.0300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.0400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.0500,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.0600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.0700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.0800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.0900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.1000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.1100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.1200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.1300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.1400,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
4.1500,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
4.1600,0.0002,0.0000,0.0000,0.0000,0.0002,0.0000,0
4.1700,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
4.1800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.1900,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.2000,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
4.2100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.2200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.2300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.2400,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.2500,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
4.2600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.2700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.2800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.2900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.3000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.3100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.3900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.4300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.4900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.5000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.5100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.5200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.5300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.5400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.5500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.5600,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
4.5700,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
4.5800,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.5900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.6000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.6900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.7300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.7600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7700,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.7800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.7900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.8200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.8600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.8900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.9000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.9100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.9200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.9300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.9400,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
4.9500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.9600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.9700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.9800,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
4.9900,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
5.0000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
5.0100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.0200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.0900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.1800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.1900,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
5.2000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.2800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.2900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.3000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.3700,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
5.3800,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
5.3900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.4000,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
5.4100,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
5.4200,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
5.4300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.4400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.4500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.4600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.4700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.4800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.4900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.5000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
5.5100,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
5.5200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.5300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.5400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.5500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.5600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.5700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.5800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.5900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.6000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.6100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.6200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.6300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.6400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.6500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.6600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.6700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.6800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.6900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.7000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.7100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.7200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.7300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.7400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.7500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.7600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.7700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.7800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.7900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.8000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.8100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.8200,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
5.8300,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
5.8400,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
5.8500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.8600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.8700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.8800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.8900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.9200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.9400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.9600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
5.9900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.0000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.0100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.0200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.0300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.0400,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.0500,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.0600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.0700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.0800,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.0900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.1000,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.1100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.1200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.1300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.1400,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.1500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.1600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.1700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.1800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.1900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.2000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.2100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.2200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.2300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.2400,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
6.2500,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
6.2600,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.2700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.2800,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.2900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.3000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.3100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.3200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.3300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.3400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.3500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.3600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.3700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.3800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.3900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.4000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.4100,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.4200,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.4300,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.4400,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.4500,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.4600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.4700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.4800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.4900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.5000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.5100,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.5200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.5300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.5400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.5500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.5600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.5700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.5800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.5900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.6000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.6100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.6200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.6300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.6400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.6500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.6600,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
6.6700,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
6.6800,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.6900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.7000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.7100,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.7200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.7300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.7400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.7500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.7600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.7700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.7800,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.7900,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.8000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
6.8100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.8200,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.8300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.8400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.8500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.8600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.8700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.8800,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.8900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.9000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.9100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.9200,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.9300,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.9400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.9500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
6.9600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.9700,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
6.9800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
6.9900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.0100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.0200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.0300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.0400,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
7.0500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.0600,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.0700,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
7.0800,0.0002,0.0000,0.0000,0.0000,-0.0030,0.0000,0
7.0900,0.0002,0.0000,0.0000,0.0000,0.0029,0.0000,0
7.1000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
7.1100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.1200,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0
7.1300,0.0002,0.0000,0.0000,0.0000,-0.0001,0.0000,0
7.1400,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.1500,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.1600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.1700,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.1800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.1900,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.2000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.2100,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.2200,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.2300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.2400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.2500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.2600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.2700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.2800,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.2900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.3000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.3100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.3200,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.3300,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.3400,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.3500,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.3600,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.3700,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.3800,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
7.3900,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.4000,0.0002,0.0000,0.0000,0.0000,-0.0000,0.0000,0
7.4100,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0
